Rang;Type de document;Nombre de recherches;Titre;Auteur
758;Livre adulte;36;Facebook : mes amis, mes amours... des emmerdes ! : la vérité sur les réseaux sociaux ?;Levard, Olivier
759;DVD tous publics;36;Men in black [images animées];
760;Bande dessinée adulte;36;Dengeki Daisy. 1;Motomi, Kyousuke
761;Bande dessinée ado;36;Je crois que je t'aime;Lyfoung, Patricia
762;DVD tous publics;36;Les enfants du paradis [images animées] : 1ère époque et 2ème époque;
763;Livre adulte;36;Réussir le TOEIC [imprimé];Fichaux, Fabien
764;DVD tous publics;36;Alice au Pays des Merveilles [Images animées];
765;Livre ado;36;Eagle day;Muchamore, Robert
766;Bande dessinée jeunesse;36;Léviathan. 1;Westerfeld, Scott
767;Livre adulte;36;Tunisie : 2011;Gloaguen, Philippe
768;Livre adulte;36;Angleterre, pays de Galles : 2011 [Texte imprimé] : sans Londres;Gloaguen, Philippe
769;DVD tous publics;36;Inception [Images animées];
770;Nouveauté;36;Rose;Rosnay, Tatiana de
771;Nouveauté;36;Absolument dé-bor-dée ! ou Le paradoxe du fonctionnaire;Shepard, Zoé
772;Nouveauté musique;36;Les chroniques du 75, en attendant l'apogée [Enregistrement sonore];
773;Livre jeunesse;36;Comme une soudaine envie de voler : carnet de curiosités de Magnus Philodolphe Pépin;Dedieu, Thierry
774;Livre jeunesse;36;Le voleur de sabres;Lerangis, Peter
775;Bande dessinée ado;36;Celle que je suis;Vanyda
776;Bande dessinée adulte;36;Piégés;Kirkman, Robert
777;Livre adulte;36;L'homme de Lewis;May, Peter
778;Bande dessinée adulte;36;Bride stories. 2;Mori, Kaoru
779;Bande dessinée jeunesse;36;Inazuma eleven. 3;Yabuno, Tenya
780;DVD < 13 ans;36;Harry Potter et les reliques de la mort [Images animées] : parties 1 & 2;
781;;36;Un homme de tempérament : roman;Lodge, David
782;Livre Fonds spécialisés;36;La dame en noir;Hill, Susan
783;DVD tous publics;36;La source des femmes [Images animées];
784;;36;Qui gardera nos enfants ? : les nounous et les mères;Ibos, Caroline
785;Nouveauté;36;Nuit noire, étoiles mortes : nouvelles;King, Stephen
786;Livre ado;36;La chanson des enfants perdus;Bottet, Béatrice
787;Livre ado;36;Journal d'un vampire. 6;Smith, Lisa Jane
788;Livre adulte;36;Education européenne [Texte imprimé];Gary, Romain
789;Livre adulte;36;L'hiver du monde [Texte imprimé] : roman;Follett, Ken
790;Livre adulte;35;Les Rougon-Macquart. 3 [Texte imprimé] : histoire naturelle et sociale d'une famille sous le Second Empire;Zola, Emile
791;Livre ado;35;Le dernier été [Texte imprimé];Brashares, Ann
792;Bande dessinée adulte;35;Le Malka des lions [Texte imprimé];Sfar, Joann
793;Livre adulte;35;La divine comédie [Texte imprimé] : L'enfer : texte original;Dante Alighieri
794;Livre jeunesse;35;Barbapapa [Texte imprimé];Tison, Annette
795;Livre adulte;35;Carnet de notes [Texte imprimé] : journal, 1991-2000;Bergounioux, Pierre
796;Livre adulte;35;Fragments d'un discours amoureux [Texte imprimé];Barthes, Roland
797;Livre adulte;35;Romans [Texte imprimé] : récits et soties, oeuvres lyriques;Gide, André
798;DVD tous publics;35;De battre mon coeur s'est arreté [Images animées];Audiard, Jacques
799;Livre jeunesse;35;Le secret de Louise [Texte imprimé];Desplat-Duc, Anne-Marie
800;DVD tous publics;35;2 days in Paris [Images animées];Delpy, Julie
801;Livre adulte;35;Le journal d'Anne Frank [Texte imprimé];Frank, Anne
802;Livre adulte;35;Atlas géopolitique d'Israel [Texte imprimé] : aspects d'une démocratie en guerre;Encel, Frédéric
803;Livre jeunesse;35;La malédiction de l'épouvanteur [Texte imprimé];Delaney, Joseph
804;Livre adulte;35;Jeanne d'Arc [Texte imprimé];Beaune, Colette
805;Livre jeunesse;35;Double meurtre à l'abbaye [Texte imprimé];Mirande, Jacqueline
806;Livre adulte;35;Théâtre complet. 2 [Texte imprimé];Strindberg, August
807;Livre jeunesse;35;Les cairns rouges [Texte imprimé];Vehlmann, Fabien
808;DVD tous publics;35;Le journal d'Anne Franck [Images animées] : [Le grenier];
809;Bande dessinée adulte;35;Une sacrée mamie. 1;Shimada, Yôshichi
810;CD jeunesse;35;Les contes du Soleil-Levant [Enregistrement sonore] : Japon;
811;CD adulte;35;Woodstock 40 [Enregistrement sonore] : 3 days of peace and music;
812;DVD tous publics;35;En analyse. Saison 1,. semaines 1 à 5 [Images animées];
813;Livre adulte;35;L'oeil du temps [Texte imprimé];Clarke, Arthur C.
814;DVD tous publics;35;L'âge de glace 3 [images animées];
815;Livre adulte;35;Birmanie (Myanmar) : 2010-2011;Gloaguen, Philippe
816;Livre adulte;35;Filles de Shanghai;See, Lisa
817;;35;Empereurs des ténèbres;Valle, Ignacio del
818;Nouveauté;35;Naissance d'un pont : roman;Kerangal, Maylis de
819;Usuels;35;Code de commerce 2011;
820;DVD tous publics;35;Mad men. Saison 2. Episodes 1 à 3 [Images animées];Hamm, Jon
821;Livre adulte;35;Afrique de l'Ouest : sans Côte d'Ivoire, ni Sénégal, ni Ghana, ni Cameroun, ni Niger;Gloaguen, Philippe
822;Livre adulte;35;1Q84 [Texte imprimé] : BOOK 1. 4 yue - 6 yue;Murakami, Haruki
823;Livre adulte;35;Le trône de fer : l'intégrale. 4;Martin, George R. R.
824;Bande dessinée adulte;35;La condition des crabes;Pins, Arthur de
825;Livre adulte;35;Portugal : 2011;Gloaguen, Philippe
826;Bande dessinée adulte;35;Est-ce qu'on ment aux gens qu'on aime ?;Trondheim, Lewis
827;Nouveauté;35;Charly 9 : roman;Teulé, Jean
828;;35;L'état de la France 2011-2012 : société, culture, économie, politique, territoires, Union européenne;
829;Bande dessinée adulte;35;Judge. 1;Tonogai, Yoshiki
830;Nouveauté;35;La femme au miroir;Schmitt, Éric-Emmanuel
831;;35;Sotah;Ragen, Naomi
832;Bande dessinée adulte;35;La mort au début du chemin;Trondheim, Lewis
833;Livre jeunesse;35;Le code de la route;Karpati, Tibor
834;;35;Remède mortel;Coben, Harlan
835;CD jeunesse;35;Talk that talk [Enregistrement sonore];Rihanna
836;Livre adulte;35;Le dessous des cartes : Itinéraires géopolitiques;Victor, Jean-Christophe
837;;35;L'empire des crabes;Pins, Arthur de
838;Nouveauté;35;Transsibérien [Texte imprimé];Fernandez, Dominique
839;Nouveauté musique;35;O, devotion [Enregistrement sonore];Green, Liz
840;Livre adulte;35;Iles grecques et Athènes [Texte imprimé] : 2012;Gloaguen, Philippe
841;Livre adulte;35;La dernière conquête du major Pettigrew;Simonson, Helen
842;Livre jeunesse;35;Madame Pamplemousse et ses fabuleux délices;Kingfisher, Rupert
843;Livre adulte;35;A découvert;Coben, Harlan
844;Livre jeunesse;35;Matilda [Texte imprimé];Dahl, Roald
845;Livre adulte;34;L'invention de Paris [Texte imprimé] : il n'y a pas de pas perdus;Hazan, Eric
846;Livre jeunesse;34;Le sorcier de la préhistoire [Texte imprimé];Osborne, Mary Pope
847;CD jeunesse;34;Pierre et le loup [Enregistrement sonore];Prokofiev, Serge
848;Bande dessinée jeunesse;34;Maus [Texte imprimé] : un survivant raconte;Spiegelman, Art
849;Livre adulte;34;Oeuvres en prose complètes. 3 [Texte imprimé];Apollinaire, Guillaume
850;DVD tous publics;34;Le voyage de Chihiro [Images animées];Miyazaki, Hayao
851;Livre jeunesse;34;Un sac de billes [Texte imprimé];Joffo, Joseph
852;Bande dessinée ado;34;Piété filiale [Texte imprimé];Oda, Eiichiro
853;Livre adulte;34;Les quatre accords toltèques [Texte imprimé] : la voie de la liberté personnelle;Ruiz, Miguel
854;Livre jeunesse;34;Toc ! Toc ! Qui est là ? [Texte imprimé];Grindley, Sally
855;DVD tous publics;34;La vie des autres [Images animées];Henckel von Donnersmarck, Florian
856;Bande dessinée jeunesse;34;Ariol [Texte imprimé] : le chevalier cheval;Guibert, Emmanuel
857;Livre jeunesse;34;L'oeil du loup [Texte imprimé];Pennac, Daniel
858;DVD tous publics;34;Mary Poppins [Images animées];Stevenson, Robert
859;Livre adulte;34;La culture générale pour les nuls [Texte imprimé];Braunstein-Silvestre, Florence
860;Livre adulte;34;Le village de l'Allemand ou Le journal des frères Schiller [Texte imprimé] : roman;Sansal, Boualem
861;Livre adulte;34;La peste [Texte imprimé];Camus, Albert
862;Livre adulte;34;Les chiens de garde [Texte imprimé];Nizan, Paul
863;Livre adulte;34;Walden ou La vie dans les bois [Texte imprimé];Thoreau, Henry David
864;Livre adulte;34;Un goût de rouille et d'os [Texte imprimé];Davidson, Craig
865;Livre jeunesse;34;Loup [Texte imprimé];Douzou, Olivier
866;Livre jeunesse;34;Gruffalo [Texte imprimé];Donaldson, Julia
867;Livre adulte;34;Les mots [Texte imprimé];Sartre, Jean-Paul
868;Livre jeunesse;34;Chhht ! [Texte imprimé];Grindley, Sally
869;Livre jeunesse;34;A la mode de chez nous [Texte imprimé];Cazenove
870;Livre adulte;34;Oeuvres. 2 [Texte imprimé];Flaubert, Gustave
871;Livre jeunesse;34;L'enfant Océan [Texte imprimé];Mourlevat, Jean-Claude
872;Livre adulte;34;Le meilleur des mondes [Texte imprimé];Huxley, Aldous
873;Livre adulte;34;De la Renaissance au 18e siècle [Texte imprimé] : les protagonistes de l'art italien : Piero Della Francesca, Botticelli, Léonard de Vinci, Michel-Ange, Raphael, Titien, Le Caravage, Canaletto et les vedutistes;
874;Livre adulte;34;Le FLE sans perdre le fil [Texte imprimé] : méthode de français langue étrangère;Viard, Christine
875;Revue adulte;34;Micro hebdo [texte imprimé] : simplifiez-vous la micro;
876;Revue adulte;34;Le Monde diplomatique [texte imprimé] : journal des cercles diplomatiques et des grandes organisations internationales;
877;Livre adulte;34;Languedoc-Roussillon : 2010;Gloaguen, Philippe
878;Livre jeunesse;34;Nuit étoilée;Hunter, Erin
879;Livre sonore adulte;34;Un monde sans fin [enregistrement sonore];Follett, Ken
880;Livre jeunesse;34;La forêt des égarés;Plichota, Anne
881;Bande dessinée jeunesse;34;Marie-Lune. 2. Au secours, j'ai perdu ma meilleure amie !;Douyé, Sylvia
882;Bande dessinée jeunesse;34;Akissi. 1. Attaque de chats;Abouet, Marguerite
883;Nouveauté;34;Qu'as-tu fait de tes frères ? : roman;Arnaud, Claude
884;Livre adulte;34;Italie du Nord : 2011 : sans la Toscane et l'Ombrie, lacs italiens, Venise et Rome;Gloaguen, Philippe
885;Livre adulte;34;Comment gagner sa vie honnêtement;Rouaud, Jean
886;Nouveauté;34;Françoise;Adler, Laure
887;Nouveauté;34;Alex : roman;Lemaitre, Pierre
888;Bande dessinée adulte;34;Anomalies quantiques;Léo
889;Livre adulte;34;New York City : le guide;Otis, Ginger Adams
890;Livre adulte;34;Istanbul : 2011-2012;Gloaguen, Philippe
891;Livre ado;34;Crescendo : roman;Fitzpatrick, Becca
892;Livre adulte;34;Pologne : 2011-2012;Gloaguen, Philippe
893;CD adulte;34;Yom and The Wonder Rabbis - With love [Enregistrement sonore];Yom
894;Livre adulte;34;Marie Blanche;Fergus, Jim
895;Livre en langue étrangère;34;Freedom [Texte imprimé];Franzen, Jonathan
896;Livre adulte;34;Apprends-moi à faire seul : la pédagogie Montessori expliquée aux parents;Poussin, Charlotte
897;Livre adulte;34;Cambodge 2012 : + extensions Laos;Gloaguen, Philippe
898;DVD < 13 ans;34;Le roi lion [Images animées];
899;DVD tous publics;34;Mystères de Lisbonne [Images animées];
900;;34;Halo : l'amour interdit;Adornetto, Alexandra
901;Livre jeunesse;34;Le réveil;Pavlenko, Marie
902;Livre jeunesse;34;Nouveau monde;Robillard, Anne
903;Nouveauté musique;34;Drive [Enregistrement sonore] : original motion picture score;
904;Nouveauté;34;Belle famille;Dreyfus, Arthur
905;Nouveauté;34;Vie animale [Texte imprimé];Torres, Justin
906;Livre adulte;34;Arab jazz;Hamy, Viviane
907;DVD tous publics;34;Les marches du pouvoir [Images animées];
908;Bande dessinée jeunesse;34;Chi, une vie de chat. 7;Konami, Kanata
909;Nouveauté;34;Rétrospective : roman;Yehoshua, Avraham B.
910;DVD tous publics;34;Les dix commandements [Images animées];DeMille, Cecil Blount
911;Livre jeunesse;33;La chenille qui fait des trous [Texte imprimé];Carle, Eric
912;Livre adulte;33;Les Misérables. 1 [Texte imprimé];Hugo, Victor
913;Livre adulte;33;La domination masculine [Texte imprimé];Bourdieu, Pierre
914;Livre adulte;33;Anna Karénine [Texte imprimé];Tolstoj, Lev Nikolaevic
915;Bande dessinée ado;33;A l'aube d'une grande aventure [Texte imprimé];Oda, Eiichiro
916;Bande dessinée ado;33;Naruto. 6 [Texte imprimé];Kishimito, Masashi
917;Livre jeunesse;33;Piège au royaume des ombres [Texte imprimé];Robillard, Anne
918;Livre jeunesse;33;Kirikou et les betes sauvages [Texte imprimé];
919;Bande dessinée adulte;33;Shenzhen [Texte imprimé];Delisle, Guy
920;Livre adulte;33;Romans [Texte imprimé];Bulgakov, Mihaïl Afanas'evic
921;Livre jeunesse;33;Le voyage de l'escargot [Texte imprimé];Brown, Ruth
922;Livre adulte;33;Théâtre complet [Texte imprimé];Goethe, Johann Wolfgang von
923;Livre jeunesse;33;La princesse au petit pois [Texte imprimé];Andersen, Hans Christian
924;Livre adulte;33;Romans. 1 [Texte imprimé];Céline, Louis-Ferdinand
925;Livre sonore adulte;33;Les Misérables [Enregistrement sonore] : raconté aux enfants, d'après l'oeuvre de Victor Hugo;Hugo, Victor
926;Livre jeunesse;33;La soupe aux cailloux [Texte imprimé];Muth, Jon J.
927;Livre adulte;33;Oeuvres complètes. 1 [Texte imprimé];Gracq, Julien
928;DVD >  12 ans;33;Sweeney Todd [Images animées] : le diabolique barbier de Fleet street = Sweeney Todd, The Demon Barber of Fleet Street;Burton, Tim
929;Livre ado;33;Une bouteille dans la mer de Gaza [Texte imprimé];Zenatti, Valérie
930;Usuels;33;Dictionnaire critique et documentaire des peintres, sculpteurs, dessinateurs et graveurs de tous les temps et de tous les pays [Texte imprimé];Bénézit, Emmanuel
931;Livre adulte;33;Les Misérables. 1 [Texte imprimé];Hugo, Victor
932;Livre jeunesse;33;La chenille qui fait des trous [Texte imprimé];Carle, Eric
933;Livre jeunesse;33;Le roman de Renart. 2. Sur les chemins;Heitz, Bruno
934;Revue adulte;33;Psychologies [magazine] [texte imprimé] : comprendre, savoir, agir dans le monde d'aujourd'hui;
935;Livre adulte;33;Iles grecques et Athènes : sans la Crète et les îles Ioniennes : 2009;Gloaguen, Philippe
936;Livre adulte;33;Green architecture now !;Jodidio, Philip
937;Livre adulte;33;Romans et récits : oeuvres lyriques et dramatiques. II [texte imprimé];Gide, André
938;DVD < 13 ans;33;Madagascar. 2 [Images animées];
939;Livre ado;33;Le feu dans le ciel [Texte imprimé];Robillard, Anne
940;Usuels;33;Code de procédure pénale : édition 2010;
941;Bande dessinée adulte;33;H.P.. 1. L'asile d'aliénés [Texte imprimé] : de 1968 à 1973, souvenirs d'infirmiers;Mandel, Lisa
942;Nouveauté;33;La première nuit [Texte imprimé] : roman;Levy, Marc
943;Livre adulte;33;Monténégro;Leprisé, Hélène
944;Livre adulte;33;Aquitaine : Bordelais, Landes, Béarn, Lot-et-Garonne;
945;DVD tous publics;33;Le ruban blanc [Images animées];
946;Livre jeunesse;33;Premiers printemps;Crausaz, Anne
947;Livre jeunesse;33;Les limites obscures de la magie;Bottero, Pierre
948;Livre jeunesse;33;Le mondial des records 2011;
949;Livre adulte;33;Réunion, Maurice et Rodrigues;Carillet, Jean-Bernard
950;DVD tous publics;33;Tournée [Images animées];
951;Livre ado;33;La porte d'Orphée [Texte imprimé];Van Hamme, Jean
952;Livre adulte;33;La gifle;Tsiolkas, Christos
953;Livre jeunesse;33;Terrienne;Mourlevat, Jean-Claude
954;Livre adulte;33;Venise : Padoue, Vicence, Vérone;
955;Livre adulte;33;Dôme. 1;King, Stephen
956;Nouveauté;33;Havre des morts : une enquête de Kay Scarpetta : roman;Cornwell, Patricia
957;Livre adulte;33;Islande : 2011-2012;Gloaguen, Philippe
958;Bande dessinée jeunesse;33;Nura, le seigneur des Yôkai. 1;Shiibashi, Hiroshi
959;Livre adulte;33;Berlin : le guide;Schulte-Peevers, Andrea
960;DVD tous publics;33;True Grit [Images animées];
961;Bande dessinée jeunesse;33;Chi, une vie de chat. 4;Konami, K.
962;Livre adulte;33;Rêves de gloire;Wagner, Roland C.
963;Livre adulte;33;Danemark, Suède : 2011-2012;Gloaguen, Philippe
964;Nouveauté;33;Le héron de Guernica;Choplin, Antoine
965;Bande dessinée jeunesse;33;Chi, une vie de chat. 6;Konami, Kanata
966;Nouveauté;33;Le chemin de l'espérance;Hessel, Stéphane
967;Nouveauté;33;J'ai réussi à rester en vie : récit;Oates, Joyce Carol
968;;33;Diagnostic [Enregistrement sonore];Maalouf, Ibrahim
969;Livre adulte;33;Jésus;Petitfils, Jean-Christian
970;DVD tous publics;33;X-Men - Le Commencement [Images animées];
971;DVD tous publics;33;La planète des singes : les origines [Images animées];
972;Nouveauté;33;Juste après dresseuse d'ours : les histoires brutes et non romancées d'une jeune généraliste;Jaddo
973;Livre adulte;33;Rose et la princesse disparue [Texte imprimé];Webb, Holly
974;Nouveauté;33;Ce qu'il faut expier [Texte imprimé];Lönnaeus, Olle
975;Livre jeunesse;33;Capitaine Massacrabord;Peake, Mervyn
976;Livre adulte;33;Barcelone : 2012;Gloaguen, Philippe
977;Livre adulte;33;A la trace;Meyer, Deon
978;Livre adulte;33;Corse : 2012;Gloaguen, Philippe
979;DVD tous publics;33;Game of Thrones [Images animées];
980;Nouveauté;33;Fukushima : récit d'un désastre;Ferrier, Michael
981;;33;Oksa Pollock. 4. Les liens maudits;Plichota, Anne
982;Bande dessinée adulte;33;Daytripper : au jour le jour;Bá, Gabriel
983;Nouveauté;33;Combien ?;Kennedy, Douglas
984;Bande dessinée adulte;33;Blast. 3;Larcenet, Manu
985;Nouveauté;33;La déesse des petites victoires [Texte imprimé];Grannec, Yannick
986;Livre adulte;33;Kaïken : roman;Grangé, Jean-Christophe
987;Bande dessinée adulte;33;Pizza roadtrip;Eldiablo
988;DVD < 13 ans;32;Azur et Asmar [Images animées];Ocelot, Michel
989;Livre Fonds spécialisés;32;Les fleurs du mal [Texte imprimé] : édition de 1861;Baudelaire, Charles
990;Bande dessinée jeunesse;32;Main du futur [Texte imprimé];Sobral, Patrick
991;Livre adulte;32;Paris secret et insolite [Texte imprimé];Trouilleux, Rodolphe
992;Bande dessinée ado;32;Le mystère de l'île étrange [Texte imprimé];Ayroles, Alain
993;Livre Fonds spécialisés;32;Alcools [Texte imprimé];Apollinaire, Guillaume
994;DVD tous publics;32;Casino royale [Images animées];
995;Livre jeunesse;32;Petit-Bleu et Petit-Jaune [Texte imprimé] : une histoire pour Pippo, Ann et tous les enfants;Lionni, Leo
996;Livre jeunesse;32;La sorcière de la rue Mouffetard et autres contes de la rue Broca [Texte imprimé];Gripari, Pierre
997;Livre adulte;32;Belle du Seigneur [Texte imprimé];Cohen, Albert
998;Livre adulte;32;Théâtre pour rire [Texte imprimé];
999;Bande dessinée adulte;32;L'exode [Texte imprimé];Sfar, Joann
1000;Livre ado;32;Lettres de l'intérieur [Texte imprimé];Marsden, John
