Rang;Type de document;Nombre de recherches;Titre;Auteur
125;Livre jeunesse;76;Le Sceptre maudit [Texte imprimé];Audouin-Mamikonian, Sophie
126;Bande dessinée adulte;76;Aya de Yopougon. 1 [Texte imprimé];Abouet, Marguerite
127;Livre ado;76;Le voleur de foudre [Texte imprimé];Riordan, Rick
128;Livre ado;76;Le clan Aramov;Muchamore, Robert
129;DVD tous publics;76;THE artist [Images animées];
130;;76;Sauve-toi, la vie t'appelle;Cyrulnik, Boris
131;Livre adulte;75;La princesse des glaces [Texte imprimé] : roman;Läckberg, Camilla
132;Livre adulte;75;Ce que le jour doit à la nuit [Texte imprimé] : roman;Khadra, Yasmina
133;Livre ado;75;Révélation [Texte imprimé];Meyer, Stephenie
134;Nouveauté;75;Le Turquetto;Arditi, Metin
135;Livre adulte;74;New York [Texte imprimé] : 2012;Gloaguen, Philippe
136;Nouveauté;74;Avenue des géants;Dugain, Marc
137;Livre adulte;73;Corse : 2011;Gloaguen, Philippe
138;Livre en gros caractères;73;La couleur des sentiments;Stockett, Kathryn
139;DVD tous publics;73;Hugo Cabret [Images animées];
140;Numérique et multimédia adulte;73;Liseuse Sony [Ressource électronique];
141;;72;Deux soeurs : Yvonne et Christine Rouart, les muses de l'impressionnisme;Bona, Dominique
142;Livre jeunesse;71;Vendredi ou la vie sauvage [Texte imprimé];Tournier, Michel
143;Livre adulte;71;La valse lente des tortues [Texte imprimé] : roman;Pancol, Katherine
144;Livre adulte;71;1984 [Texte imprimé];Orwell, George
145;Livre adulte;71;La fille qui rêvait d'un bidon d'essence et d'une allumette [Texte imprimé] : roman;Larsson, Stieg
146;Livre ado;71;Journal d'un vampire. 2;Smith, Lisa Jane
147;Livre adulte;71;Malaisie, Singapour : 2011 : sans Bornéo;Gloaguen, Philippe
148;Livre adulte;71;Avant d'aller dormir;Watson, S. J.
149;Nouveauté;71;L'enquête russe : roman;Parot, Jean-François
150;Revue adulte;70;60 millions de consommateurs [texte imprimé] : le magazine sans publicité;
151;Livre adulte;70;Les dames de Rome : roman;Chandernagor, Françoise
152;Livre ado;69;Chute libre [Texte imprimé];Muchamore, Robert
153;Usuels;69;Code civil : édition 2011;
154;DVD tous publics;69;Les femmes du 6e étage [Images animées];
155;CD adulte;69;Nrj music awards 2012 [enregistrement sonore];
156;DVD tous publics;69;A Dangerous Method [Images animées];
157;Livre jeunesse;68;L'apprenti épouvanteur [Texte imprimé];Delaney, Joseph
158;Livre adulte;68;Oeuvres complètes. 1. 1931-1944 [Texte imprimé];Camus, Albert
159;Livre adulte;68;Inconnu à cette adresse [Texte imprimé];Taylor, Kathrine Kressmann
160;Livre jeunesse;68;Le dernier Olympien;Riordan, Rick
161;Revue adulte;67;Elle [texte imprimé] : l'hebdomadaire de la femme : tous les mercredis;
162;Bande dessinée ado;67;Lou !. 5;Neel, Julien
163;DVD < 13 ans;67;Ponyo sur la falaise [Images animées];Miyazaki, Hayao
164;Bande dessinée jeunesse;67;En quête d'amour;Tessier, Grégory
165;Bande dessinée adulte;67;Les ignorants : récit d'une initiation croisée;Davodeau, Etienne
166;Livre jeunesse;67;La guerre des clans : le pouvoir des étoiles. 1. Vision;Hunter, Erin
167;Nouveauté;67;Et puis, Paulette...;Constantine, Barbara
168;DVD tous publics;67;L'exercice de l'Etat [Images animées];
169;;67;Pourquoi être heureux quand on peut être normal ?;Winterson, Jeannette
170;Livre ado;66;Les survivants [Texte imprimé] : mission 5;Muchamore, Robert
171;Livre jeunesse;66;Max et les Maximonstres [Texte imprimé];Sendak, Maurice
172;Livre ado;66;Sang pour sang [Texte imprimé] : mission 6;Muchamore, Robert
173;Bande dessinée jeunesse;66;Chi, une vie de chat. 2;Konami, K.
174;Bande dessinée jeunesse;66;Bride stories. 1;Mori, Kaoru
175;Bande dessinée jeunesse;65;Le royaume des ombres;Smith, L. J.
176;Livre jeunesse;65;16 nouvelles métamorphoses d'Ovide;Ovide
177;;65;Le sel de la vie : lettre à un ami;Héritier, Françoise
178;;65;Volte-face : roman;Connelly, Michael
179;DVD >  12 ans;64;Millénium, le film [Images animées];
180;Livre adulte;64;L'écrivain de la famille : roman;Delacourt, Grégoire
181;Nouveauté;64;Sous haute tension;Coben, Harlan
182;DVD tous publics;64;La guerre est déclarée [Images animées];
183;Livre jeunesse;63;L'aîné [Texte imprimé];Paolini, Christopher
184;Livre jeunesse;63;Brisingr;Paolini, Christopher
185;Livre jeunesse;63;Le code de la route;Ramos, Mario
186;Livre adulte;63;Le chagrin : roman;Duroy, Lionel
187;Nouveauté;63;Just kids;Smith, Patti
188;DVD tous publics;63;Harry Potter et les reliques de la mort, partie 1 [Images animées];
189;Nouveauté;63;Betty;Arnaldur Indridason
190;Nouveauté;63;Les sauvages. 1 [Texte imprimé];Louatah, Sabri
191;Bande dessinée jeunesse;62;Idylles [Texte imprimé];Neel, Julien
192;Livre adulte;62;Romans et nouvelles [Texte imprimé];Zweig, Stefan
193;;62;"Le second souffle ; suivi de Diable gardien";Pozzo di Borgo, Philippe
194;Nouveauté;62;Le bûcher d'un roi;Martin, George R.R.
195;;62;Mapuche;Férey, Caryl
196;Bande dessinée jeunesse;61;Frères ennemis [Texte imprimé];Sobral, Patrick
197;Bande dessinée jeunesse;61;Le réveil du Kréa-Kaos [Texte imprimé];Sobral, Patrick
198;Bande dessinée adulte;61;Chroniques birmanes [Texte imprimé];Delisle, Guy
199;Bande dessinée ado;61;Fairy Tail. 1 [Texte imprimé];Mashima, Hiro
200;Livre adulte;61;Antigone [Texte imprimé];Anouilh, Jean
201;Livre adulte;61;Métronome illustré;Deutsch, Lorànt
202;Livre jeunesse;61;Ca fait suer ! : guide de survie en milieu hostile;Kinney, Jeff
203;DVD tous publics;61;Incendies [Images animées];
204;;61;Dieu, ma mère et moi;Giesbert, Franz-Olivier
205;Bande dessinée jeunesse;60;Le gardien [Texte imprimé];Sobral, Patrick
206;Livre jeunesse;60;Grosse colère [Texte imprimé];Allancé, Mireille d'
207;Bande dessinée ado;60;Les liens de l'amitié [Texte imprimé];Delaf
208;DVD tous publics;60;Mad men. Intégrale Saison 1 [Images animées];
209;Livre adulte;60;Le livre sans nom;
210;Nouveauté;60;Retour à Killybegs;Chalandon, Sorj
211;;60;L'oligarchie des incapables;Coignard, Sophie
212;Livre sonore adulte;60;Rien ne s'oppose à la nuit (CD MP3) [Enregistrement sonore];De Vigan, Delphine
213;Nouveauté;60;L'herbe des nuits : roman;Modiano, Patrick
214;Livre adulte;59;Romans et nouvelles [Texte imprimé];Zweig, Stefan
215;Bande dessinée jeunesse;59;Sale temps pour les moches [Texte imprimé];Delaf
216;Bande dessinée ado;59;J'irai voir Venise [Texte imprimé];Lyfoung, Patricia
217;Livre jeunesse;59;Le Petit Prince [Texte imprimé];Saint-Exupéry, Antoine de
218;Livre adulte;59;Bel-Ami [Texte imprimé];Maupassant, Guy de
219;Livre adulte;59;Le club des incorrigibles optimistes : roman;Guenassia, Jean-Michel
220;Livre ado;59;Journal d'un vampire. Tome 3;Smith, Lisa Jane
221;Livre adulte;59;Le secret des femmes : voyage au coeur du plaisir et de la jouissance;Brune, Elisa
222;Bande dessinée adulte;59;Les vacances de Jésus & Bouddha : saint young men. 2 [Texte imprimé];Hikaru, Nakamura
223;Livre adulte;59;Italie du Nord : 2012 : sans la Toscane, l'Ombrie, les lacs italiens et Venise;Gloaguen, Philippe
224;DVD tous publics;59;Melancholia [Images animées];
225;DVD tous publics;59;Habemus Papam [Images animées];
226;Livre adulte;59;Notre-Dame du Nil : roman;Mukasonga, Scholastique
227;Nouveauté;59;Féerie générale;Pireyre, Emmanuelle
228;Bande dessinée ado;58;J'irai où tu iras [Texte imprimé];Lyfoung, Patricia
229;Livre adulte;58;Théâtre. 1 [Texte imprimé];Anouilh, Jean
230;Livre adulte;58;Sur la route [Texte imprimé];Kerouac, Jack
231;Livre adulte;58;La promesse de l'aube [Texte imprimé];Gary, Romain
232;Livre ado;58;Le grand jeu [Texte imprimé];Muchamore, Robert
233;Livre adulte;58;Berlin;Gloaguen, Philippe
234;Livre adulte;58;Tout, tout de suite : roman;Sportes, Morgan
235;Bande dessinée adulte;58;Portugal;Pedrosa, Cyril
236;Livre ado;57;Vendredi ou la vie sauvage [Texte imprimé];Tournier, Michel
237;Livre adulte;57;Les piliers de la terre [Texte imprimé];Follett, Ken
238;Livre adulte;57;Antigone [Texte imprimé];Anouilh, Jean
239;Livre jeunesse;57;Bébés chouettes [Texte imprimé];Waddell, Martin
240;Livre jeunesse;57;La guerre des clans : la dernière prophétie. 3. Aurore;Hunter, Erin
241;Bande dessinée adulte;57;Bienvenue. 1;Abouet, Marguerite
242;Livre adulte;57;L'énigme des catacombes;Riordan, Rick
243;Livre ado;57;Promise;Condie, Ally
244;Livre adulte;57;Les intellectuels faussaires : le triomphe médiatique des experts en mensonge;Boniface, Pascal
245;;57;Princess Jellyfish. 1;Higashimura, Akiko
246;Livre adulte;57;Sagan et fils;Westhoff, Denis
247;Bande dessinée ado;56;Mortebouse [Texte imprimé];Neel, Julien
248;Livre adulte;56;Romans [Texte imprimé];Maupassant, Guy de
